,participant_id,trial_type,model,aphantasia_image,phantasia_image,target,choice,reaction_time,image_choice_location,accuracy,winner_model,chosen_image,winner_image,color,shape,content,overall,model_feedback,firstRandomizedTrial,timestamp,saw_visuals,visual_experiences,visual_description,time_to_emerge_visual,frequency_visual,intensity_visual,duration_visual,location_visual,emotional_experience,consciousness_changes,consciousness_description,visual_imagery_vividness,verbal_imagery_vividness,age,debrief,diagnosis,education,english_speaker,gender,handedness,normal_vision,previous_participation,verbal_likert,visual_likert,vviq-1,vviq-10,vviq-11,vviq-12,vviq-13,vviq-14,vviq-15,vviq-16,vviq-2,vviq-3,vviq-4,vviq-5,vviq-6,vviq-7,vviq-8,vviq-9,vviq_sum,vviq_z
0,4,normal,claude,33_claude,2784_claude,004_claude,own,19.15,left,1,na,participant_004_claude,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
1,4,normal,dalle,33_dalle,2784_dalle,004_dalle,own,14.23,right,1,na,participant_004_dalle,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
2,4,normal,gemini,33_gemini,2784_gemini,004_gemini,own,6.06,left,1,na,participant_004_gemini,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
3,4,normal,gpto,33_gpto,2784_gpto,004_gpto,own,8.64,right,1,na,participant_004_gpto,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
4,4,normal,stable,33_stable,2784_stable,004_stable,own,4.73,left,1,na,participant_004_stable,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
5,4,normal,gpt4.5,33_gpt4.5,2784_gpt4.5,004_gpt4.5,own,24.07,left,1,na,participant_004_gpt4,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
6,4,final,na,na,na,na,own,65.7,bottom_right,1,claude,participant_004_claude,participant_004_claude,3,5,4,2,"The background was a lot darker and I wouldn't see all of these images at once.  The background was a dark red mixed with black, not gray/white.  I also didn't see that blue grid.  The white diamond pattern is spot-on. The wave of blue/green is very similar to what I saw. The wheel is also good.  I felt like I saw it spinning in the experiment.  I also feel like it's missing static (or a static look).  It's also missing a circle of staticky green surrounded by staticky red.",drawing,2025-04-11T18:02:35.203Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Colors other than red and black""]","I mostly just saw distortions, but there were periods of time where I felt like I saw a string of white diamond shapes (a pattern) all connected to eachother.  There were also periods when I would see a flowing wave of red accompanied by a greenish-blue (that also seemed to be flowing).  I also saw spinning.  Sometimes it would be chunky and staticky with the blue/green, but there were also periods where I felt like I saw a smooth circle/ wheel shape spinning.  It reminded me of/ looked a lot like a bicycle wheel (but it didn't definitively look like that).",They began to emerge immediately,Frequently,"Clear, but not vivid",Persisting several seconds,In the center,"Somewhat unpleasant, but didn't mind going on","[""As if in a dreamlike state"",""Lost a sense of time"",""Lost a sense of space""]",I did feel like I wasn't quite in the room--like I was being immersed somewhere else.  I felt like the screen was coming towards me and I was going inside of it.,,,20,How pupil size and movement corresponds to hallucinations.,No,High School,Yes,Woman,Right,Yes,No,7,8,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,63,0.3485942094218236
7,5,normal,gpt4.5,154_gpt4.5,4329_gpt4.5,005_gpt4.5,own,8.12,left,1,na,participant_005_gpt4,participant_005_gpt4,2,4,3,3,What I saw before was more blurry between the shapes and lines,drawing,2025-04-11T18:29:45.476Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Complex objects (e.g., animals, faces, buildings)""]","I saw a cross that sometimes spun clockwise or counterclockwise. I also saw an ""X"" that stretched bigger and bigger. Sometimes, there were blue and red grids that showed up like a checkerboard. Towards the end, I also kept seeing lips that were grinning and with red lipstick and they kept fading in and out.",4-5 minutes,Frequently,Clear and moderately vivid,Persisting several seconds,In the center,"Unpleasant, wanted it to stop","[""Became relaxed or sleepy""]","I think I kept almost seeing visual hallucinations, but then I'd lose it because I would pay less attention or zone out.",,,21,Strength of mental imagery and the types of hallucination one sees?,No,High School,No,Woman,Right,Yes,No,3,7,4,3,2,4,4,4,4,4,4,5,4,4,4,3,4,3,60,0.07176939605743433
8,5,normal,gemini,154_gemini,4329_gemini,005_gemini,own,10.56,right,1,na,participant_005_gemini,participant_005_gpt4,2,4,3,3,What I saw before was more blurry between the shapes and lines,drawing,2025-04-11T18:29:45.476Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Complex objects (e.g., animals, faces, buildings)""]","I saw a cross that sometimes spun clockwise or counterclockwise. I also saw an ""X"" that stretched bigger and bigger. Sometimes, there were blue and red grids that showed up like a checkerboard. Towards the end, I also kept seeing lips that were grinning and with red lipstick and they kept fading in and out.",4-5 minutes,Frequently,Clear and moderately vivid,Persisting several seconds,In the center,"Unpleasant, wanted it to stop","[""Became relaxed or sleepy""]","I think I kept almost seeing visual hallucinations, but then I'd lose it because I would pay less attention or zone out.",,,21,Strength of mental imagery and the types of hallucination one sees?,No,High School,No,Woman,Right,Yes,No,3,7,4,3,2,4,4,4,4,4,4,5,4,4,4,3,4,3,60,0.07176939605743433
9,5,normal,claude,154_claude,4329_claude,005_claude,own,8.36,right,1,na,participant_005_claude,participant_005_gpt4,2,4,3,3,What I saw before was more blurry between the shapes and lines,drawing,2025-04-11T18:29:45.476Z,True,"[""Distortions (e.g., screen warping or rotating)"",""Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)"",""Complex objects (e.g., animals, faces, buildings)""]","I saw a cross that sometimes spun clockwise or counterclockwise. I also saw an ""X"" that stretched bigger and bigger. Sometimes, there were blue and red grids that showed up like a checkerboard. Towards the end, I also kept seeing lips that were grinning and with red lipstick and they kept fading in and out.",4-5 minutes,Frequently,Clear and moderately vivid,Persisting several seconds,In the center,"Unpleasant, wanted it to stop","[""Became relaxed or sleepy""]","I think I kept almost seeing visual hallucinations, but then I'd lose it because I would pay less attention or zone out.",,,21,Strength of mental imagery and the types of hallucination one sees?,No,High School,No,Woman,Right,Yes,No,3,7,4,3,2,4,4,4,4,4,4,5,4,4,4,3,4,3,60,0.07176939605743433
